tagID1,tagID2
1,55
1,102
1,2649
1,2650
1,2651
1,2704
1,2705
1,2706
2,15
2,133
2,2195
2,2476
2,2477
2,2608
2,2658
137,1791
137,2215
137,2216
163,266
163,289
163,500
163,532
163,704
163,708
163,832
163,976
163,1169
163,1471
163,2538
163,2787
163,2801
255,1169
255,2551
255,2728
255,2729
255,2730
255,2735
255,2736
255,2737
255,2739
255,2740
255,2741
255,2742
255,2743
255,2744
255,2745
255,2746
255,2747
255,2748
882,2551
882,2571
882,2572
882,2573
882,2575
882,2671
882,2672
882,2701
882,2728
882,2729
882,2730
882,2735
882,2736
882,2737
882,2739
882,2740
882,2741
882,2742
882,2743
882,2744
882,2745
882,2746
882,2747
882,2748
882,2829
882,2830
882,2831
882,2832
882,2833
882,2847
882,2848
1054,1467
1480,1708
1480,1730
1480,1791
1480,1817
1480,1818
1480,2847
1480,2848
2553,2844
2553,2847
2553,2848
2553,2860
2553,2861
2553,2862
2553,2863
2553,2864
2553,2865
2553,2866
2553,2867
2692,2693
2692,2843
2721,2722
2721,2723
2721,2749
2722,2723
2722,2725
2722,2749
2722,2750
2722,2751
2888,2889
2889,2890
2889,2891
2889,2898
2889,2899
2889,2900
2889,2901
2889,2902
2889,2903
2889,2904
2889,2905
2889,2906
2889,2907
2889,2908
2889,2909
2889,2910
2889,2911
2889,2912
2889,2914
2889,2915
2889,2917
2889,2918
2889,2920
2889,2921
2889,2922
2889,2923
2889,2924
2889,2925
2889,2926
2889,2927
2889,2928
2889,2929
2978,2979
